Reference,Customer,Invoice,InvoiceDate,Total,Payments,Hours,Pay,Comp,Burden,Pass,Profit,%Profit,Terms,PostedToAR,ReversedTotal,LocationId
99,ATIRA1,10307,2017-02-10 00:00:00,523.69,0,25,325,1.14,43.97,24.94,128.64,25.7925,A,True,0,1
104,ATIRA2,10068,2017-02-10 00:00:00,1663.67,0,71,1007,3.52,136.25,79.22,437.68,27.6235,A,True,0,1
105,ATIRA2,10069,2017-02-10 00:00:00,192.78,0,8,116,0.41,15.69,9.18,51.5,28.0501,A,True,0,1
106,ATIRA2,10070,2017-02-10 00:00:00,385.56,0,16,240,0.84,32.47,18.36,93.89,25.5692,A,True,0,1
107,ATIRA2,10071,2017-02-10 00:00:00,1349.46,0,56,812,2.84,109.86,64.26,360.5,28.0501,A,True,0,1
108,ATIRA2,10072,2017-02-10 00:00:00,1324.26,0,56,800,2.8,108.24,63.06,350.16,27.764,A,True,0,1
110,ATIRA2,10073,2017-02-10 00:00:00,553.14,0,24,336,1.18,45.46,26.34,144.16,27.3652,A,True,0,1
113,ATIRA2,10074,2017-02-10 00:00:00,385.56,0,16,232,0.81,31.39,18.36,103,28.0501,A,True,0,1
114,ATIRA2,10075,2017-02-10 00:00:00,771.12,0,32,464,1.62,62.78,36.72,206,28.0501,A,True,0,1
116,ATIRA2,10076,2017-02-10 00:00:00,527.94,0,24,324,1.13,43.84,25.14,133.83,26.6169,A,True,0,1
118,ATIRA2,10077,2017-02-10 00:00:00,385.56,0,16,232,0.81,31.39,18.36,103,28.0501,A,True,0,1
143,ATIRA2,10078,2017-02-10 00:00:00,385.56,0,16,232,0.81,31.39,18.36,103,28.0501,A,True,0,1
107,ATIRA2,10167,2017-02-10 00:00:00,1132.58,0,47,681.5,2.39,92.21,53.93,302.55,28.049,A,True,0,1
108,ATIRA2,10168,2017-02-10 00:00:00,1236.22,0,53,757,2.65,102.42,58.87,315.28,26.7788,A,True,0,1
109,ATIRA2,10169,2017-02-10 00:00:00,192.78,0,8,116,0.41,15.69,9.18,51.5,28.0501,A,True,0,1
